ts, default broker, CrocodileAgent, VidyutVanika, AgentUDE, Bunnie, total
1237, 4, 1932, 17309, 10974, 27301, 57520
1243, 5, 3097, 21156, 3794, 29468, 57520
1249, 5, 4060, 22309, 3897, 27249, 57520
1255, 4, 4130, 22907, 5245, 25234, 57520
1261, 4, 4175, 23042, 6666, 23633, 57520
1267, 5, 4130, 23006, 7358, 23021, 57520
1273, 4, 4134, 22999, 7892, 22491, 57520
1279, 4, 4105, 22751, 9139, 21521, 57520
1285, 3, 4077, 22265, 5920, 25255, 57520
1291, 4, 3814, 21186, 6703, 25813, 57520
1297, 2, 3536, 19594, 8230, 26158, 57520
1303, 1, 3108, 17954, 9023, 27434, 57520
1309, 0, 2939, 16582, 10066, 27933, 57520
1315, 1, 2253, 14545, 12535, 28186, 57520
1321, 0, 1501, 12608, 14663, 28748, 57520
1327, 1, 1329, 12083, 2520, 41587, 57520
1333, 2, 1223, 11713, 1567, 43015, 57520
1339, 5, 823, 11076, 2044, 43572, 57520
1345, 4, 734, 10260, 2140, 44382, 57520
1351, 4, 704, 9589, 2142, 45081, 57520
1357, 3, 584, 9289, 2195, 45449, 57520
1363, 4, 380, 8791, 3077, 45268, 57520
1369, 4, 262, 8573, 500, 48181, 57520
1375, 4, 142, 8469, 270, 48635, 57520
1381, 3, 143, 10930, 366, 46078, 57520
1387, 2, 942, 12787, 767, 43022, 57520
1393, 2, 2493, 17193, 769, 37063, 57520
1399, 1, 3027, 20652, 760, 33080, 57520
1405, 2, 3655, 21902, 755, 31206, 57520
1411, 2, 4249, 23849, 121, 29299, 57520
1417, 2, 4781, 25169, 251, 27317, 57520
1423, 2, 5030, 25104, 313, 27071, 57520
1429, 1, 4982, 25057, 509, 26971, 57520
1435, 1, 4950, 24882, 529, 27158, 57520
1441, 1, 4947, 24613, 588, 27371, 57520
1447, 1, 4948, 24360, 650, 27561, 57520
1453, 2, 4947, 23220, 338, 29013, 57520
1459, 2, 4796, 22960, 429, 29333, 57520
1465, 1, 4695, 22543, 620, 29661, 57520
1471, 3, 4112, 19882, 747, 32776, 57520
1477, 4, 3037, 16842, 1568, 36069, 57520
1483, 4, 2513, 15071, 1832, 38100, 57520
1489, 4, 2000, 13231, 2050, 40235, 57520
1495, 3, 1430, 11806, 260, 44021, 57520
1501, 3, 1073, 10558, 420, 45466, 57520
1507, 2, 694, 9658, 720, 46446, 57520
1513, 1, 636, 9050, 985, 46848, 57520
1519, 3, 443, 8760, 985, 47329, 57520
1525, 1, 357, 8328, 1124, 47710, 57520
1531, 2, 300, 8113, 1120, 47985, 57520
1537, 1, 264, 7973, 478, 48804, 57520
1543, 1, 214, 7724, 511, 49070, 57520
1549, 2, 470, 9031, 512, 47505, 57520
1555, 3, 1311, 11442, 650, 44114, 57520
1561, 3, 2000, 13586, 650, 41281, 57520
1567, 4, 2417, 15491, 659, 38949, 57520
1573, 3, 3784, 18372, 762, 34599, 57520
1579, 2, 4331, 21797, 242, 31148, 57520
1585, 7, 5291, 23028, 528, 28666, 57520
1591, 11, 5373, 23109, 551, 28476, 57520
1597, 9, 5370, 23165, 563, 28413, 57520
1603, 17, 5306, 23204, 670, 28323, 57520
1609, 15, 5290, 23027, 824, 28364, 57520
1615, 17, 5209, 22890, 891, 28513, 57520
1621, 17, 5110, 22639, 275, 29479, 57520
1627, 19, 4498, 21562, 575, 30866, 57520
1633, 17, 4058, 20408, 1060, 31977, 57520
1639, 11, 3870, 19654, 1224, 32761, 57520
1645, 20, 2919, 17511, 1857, 35213, 57520
1651, 21, 2457, 15406, 2118, 37518, 57520
1657, 22, 1889, 13281, 2369, 39959, 57520
1663, 6, 1107, 11468, 399, 44540, 57520
1669, 4, 809, 10328, 347, 46032, 57520
1675, 3, 666, 9774, 617, 46460, 57520
1681, 3, 464, 8991, 848, 47214, 57520
1687, 1, 384, 8598, 847, 47690, 57520
1693, 1, 252, 8607, 989, 47671, 57520
1699, 1, 178, 8301, 987, 48053, 57520
1705, 1, 149, 8242, 309, 48819, 57520
1711, 1, 119, 8438, 179, 48783, 57520
1717, 1, 87, 10280, 193, 46959, 57520
1723, 2, 62, 12559, 329, 44568, 57520
1729, 3, 323, 12970, 327, 43897, 57520
1735, 4, 1182, 14344, 545, 41445, 57520
1741, 3, 2758, 20322, 793, 33644, 57520
1747, 5, 3448, 22266, 60, 31741, 57520
1753, 3, 4230, 22929, 15, 30343, 57520
1759, 3, 4482, 23186, 99, 29750, 57520
1765, 2, 4494, 23085, 100, 29839, 57520
1771, 2, 4495, 22764, 106, 30153, 57520
1777, 1, 4493, 22696, 110, 30220, 57520
1783, 1, 4490, 22585, 114, 30330, 57520
1789, 1, 4497, 21882, 32, 31108, 57520
1795, 1, 4449, 20391, 330, 32349, 57520
1801, 1, 4378, 19984, 451, 32706, 57520
1807, 1, 3996, 18531, 545, 34447, 57520
1813, 1, 3407, 15842, 894, 37376, 57520
1819, 1, 2929, 14419, 854, 39317, 57520
1825, 1, 1941, 12569, 892, 42117, 57520
