ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, AgentUDE, total
643, 6871, 50086, 0, 390, 154, 57501
649, 6957, 50037, 0, 342, 165, 57501
655, 6867, 50263, 0, 335, 36, 57501
661, 6842, 50306, 0, 312, 41, 57501
667, 6870, 50272, 0, 318, 41, 57501
673, 6881, 50185, 0, 342, 93, 57501
679, 6885, 50178, 0, 344, 94, 57501
685, 6932, 49064, 0, 780, 725, 57501
691, 6973, 45865, 0, 1501, 3162, 57501
697, 6938, 41630, 0, 1598, 7335, 57501
703, 6935, 24704, 0, 3713, 22149, 57501
709, 6847, 12241, 0, 1593, 36820, 57501
715, 6816, 6376, 0, 1641, 42668, 57501
721, 6822, 3707, 0, 1225, 45747, 57501
727, 6891, 2094, 0, 1261, 47255, 57501
733, 7012, 1449, 0, 656, 48384, 57501
739, 6910, 6321, 0, 4594, 39676, 57501
745, 6872, 7351, 0, 1298, 41980, 57501
751, 6865, 8610, 0, 781, 41245, 57501
757, 6845, 9960, 0, 368, 40328, 57501
763, 6883, 11422, 0, 328, 38868, 57501
769, 6884, 14647, 0, 320, 35650, 57501
775, 6855, 23946, 0, 318, 26382, 57501
781, 6881, 48222, 0, 311, 2087, 57501
787, 6874, 50071, 0, 284, 272, 57501
793, 6916, 50272, 0, 265, 48, 57501
799, 6986, 50228, 0, 269, 18, 57501
805, 6902, 50311, 0, 268, 20, 57501
811, 6804, 50409, 0, 268, 20, 57501
817, 6793, 50424, 0, 265, 19, 57501
823, 6863, 50359, 0, 270, 9, 57501
829, 6786, 50429, 0, 277, 9, 57501
835, 6734, 50468, 0, 290, 9, 57501
841, 6785, 50320, 0, 338, 58, 57501
847, 6810, 49986, 0, 646, 59, 57501
853, 6880, 49204, 0, 735, 682, 57501
859, 6813, 46094, 0, 1591, 3003, 57501
865, 6800, 39659, 0, 1932, 9110, 57501
871, 6789, 35307, 0, 2184, 13221, 57501
877, 6884, 32531, 0, 1863, 16223, 57501
883, 6914, 27579, 0, 2045, 20963, 57501
889, 6804, 22863, 0, 1635, 26199, 57501
895, 6737, 21641, 0, 1448, 27675, 57501
901, 6545, 19151, 0, 1442, 30363, 57501
907, 6590, 18826, 0, 2260, 29825, 57501
913, 6691, 16800, 0, 1676, 32334, 57501
919, 6824, 16772, 0, 1379, 32526, 57501
925, 6773, 16779, 0, 944, 33005, 57501
931, 6743, 16847, 0, 682, 33229, 57501
937, 6861, 16869, 0, 541, 33230, 57501
943, 6894, 16834, 0, 497, 33276, 57501
949, 6874, 49618, 0, 500, 509, 57501
955, 6817, 49723, 0, 449, 512, 57501
961, 6882, 49708, 0, 398, 513, 57501
967, 6886, 49707, 0, 395, 513, 57501
973, 6885, 49731, 0, 371, 514, 57501
979, 6919, 49725, 0, 341, 516, 57501
985, 6984, 49659, 0, 340, 518, 57501
991, 6970, 50150, 0, 312, 69, 57501
997, 6788, 50352, 0, 292, 69, 57501
1003, 6646, 50457, 0, 301, 97, 57501
1009, 6725, 49932, 0, 529, 315, 57501
1015, 6841, 49486, 0, 533, 641, 57501
1021, 6723, 44367, 0, 1249, 5162, 57501
1027, 6817, 38823, 0, 2170, 9691, 57501
1033, 6849, 33347, 0, 4002, 13303, 57501
1039, 6851, 27730, 0, 3613, 19307, 57501
1045, 6925, 22050, 0, 3526, 25000, 57501
1051, 6904, 19416, 0, 3834, 27347, 57501
1057, 6939, 16549, 0, 3008, 31005, 57501
1063, 6805, 14185, 0, 3075, 33436, 57501
1069, 6868, 11568, 0, 2826, 36239, 57501
1075, 6956, 11121, 0, 4888, 34536, 57501
1081, 6961, 10485, 0, 3562, 36493, 57501
1087, 6934, 10789, 0, 2599, 37179, 57501
1093, 7000, 10883, 0, 1881, 37737, 57501
1099, 6928, 11292, 0, 1472, 37809, 57501
1105, 6957, 11631, 0, 1105, 37808, 57501
1111, 6978, 11772, 0, 939, 37812, 57501
1117, 6886, 47168, 0, 263, 3184, 57501
1123, 6812, 49031, 0, 261, 1397, 57501
1129, 6921, 49423, 0, 251, 906, 57501
1135, 6944, 49792, 0, 250, 515, 57501
1141, 6924, 49874, 0, 248, 455, 57501
1147, 6936, 49893, 0, 247, 425, 57501
1153, 6923, 49995, 0, 247, 336, 57501
1159, 6851, 50309, 0, 259, 82, 57501
1165, 6935, 50224, 0, 259, 83, 57501
1171, 6930, 50031, 0, 267, 273, 57501
1177, 6821, 49769, 0, 261, 650, 57501
1183, 6878, 49302, 0, 334, 987, 57501
1189, 6949, 44842, 0, 338, 5372, 57501
1195, 6837, 38053, 0, 677, 11934, 57501
1201, 6853, 32267, 0, 768, 17613, 57501
1207, 6909, 26115, 0, 748, 23729, 57501
1213, 6754, 22901, 0, 815, 27031, 57501
1219, 6744, 19748, 0, 1149, 29860, 57501
1225, 6799, 16357, 0, 1159, 33186, 57501
1231, 6796, 11637, 0, 1005, 38063, 57501
1237, 6842, 10449, 0, 842, 39368, 57501
1243, 6903, 9764, 0, 2066, 38768, 57501
1249, 6867, 8435, 0, 1546, 40653, 57501
1255, 6918, 8121, 0, 998, 41464, 57501
1261, 6932, 8032, 0, 848, 41689, 57501
1267, 6936, 8236, 0, 728, 41601, 57501
1273, 6877, 8560, 0, 620, 41444, 57501
1279, 6762, 9733, 0, 483, 40523, 57501
1285, 6720, 47132, 0, 444, 3205, 57501
1291, 6703, 47381, 0, 392, 3025, 57501
1297, 6707, 47565, 0, 365, 2864, 57501
1303, 6708, 47798, 0, 322, 2673, 57501
1309, 6759, 47940, 0, 289, 2513, 57501
1315, 6835, 48153, 0, 230, 2283, 57501
1321, 6864, 48212, 0, 230, 2195, 57501
1327, 6854, 50321, 0, 228, 98, 57501
1333, 6909, 50237, 0, 236, 119, 57501
1339, 6899, 49971, 0, 234, 397, 57501
1345, 6829, 48942, 0, 274, 1456, 57501
1351, 6873, 48244, 0, 282, 2102, 57501
1357, 6905, 41500, 0, 476, 8620, 57501
1363, 6924, 30499, 0, 524, 19554, 57501
1369, 6912, 20633, 0, 1465, 28491, 57501
1375, 6922, 14639, 0, 1566, 34374, 57501
1381, 6678, 9061, 0, 893, 40869, 57501
1387, 6695, 5262, 0, 693, 44851, 57501
1393, 6750, 3984, 0, 333, 46434, 57501
1399, 6759, 3043, 0, 553, 47146, 57501
1405, 6932, 1632, 0, 348, 48589, 57501
1411, 6995, 6080, 0, 3097, 41329, 57501
1417, 6897, 6580, 0, 2046, 41978, 57501
1423, 6821, 6989, 0, 1505, 42186, 57501
1429, 6788, 7153, 0, 1181, 42379, 57501
1435, 6802, 7167, 0, 1124, 42408, 57501
1441, 6793, 7243, 0, 1097, 42368, 57501
1447, 6731, 7936, 0, 741, 42093, 57501
1453, 6702, 50036, 0, 691, 72, 57501
1459, 6738, 50225, 0, 464, 74, 57501
1465, 6798, 50256, 0, 373, 74, 57501
1471, 6810, 50279, 0, 337, 75, 57501
1477, 6843, 50249, 0, 324, 85, 57501
1483, 6737, 50376, 0, 299, 89, 57501
1489, 6718, 50393, 0, 299, 91, 57501
1495, 6757, 50399, 0, 278, 67, 57501
1501, 6808, 50388, 0, 236, 69, 57501
1507, 6817, 50285, 0, 269, 130, 57501
1513, 6741, 50143, 0, 265, 352, 57501
1519, 6757, 49814, 0, 364, 566, 57501
1525, 6419, 45533, 0, 459, 5090, 57501
1531, 6346, 36413, 0, 1803, 12939, 57501
1537, 6552, 33699, 0, 3228, 14022, 57501
1543, 6646, 28681, 0, 4408, 17766, 57501
1549, 6805, 26037, 0, 4278, 20381, 57501
1555, 6890, 22189, 0, 4974, 23448, 57501
1561, 6854, 18688, 0, 4559, 27400, 57501
1567, 6851, 18061, 0, 4491, 28098, 57501
1573, 6780, 16541, 0, 3630, 30550, 57501
1579, 6647, 8708, 0, 3398, 38748, 57501
1585, 6702, 5120, 0, 863, 44816, 57501
1591, 6755, 4166, 0, 493, 46087, 57501
1597, 6927, 3195, 0, 308, 47071, 57501
1603, 6885, 3169, 0, 275, 47172, 57501
1609, 6881, 3069, 0, 265, 47286, 57501
1615, 6891, 3942, 0, 250, 46418, 57501
1621, 6880, 50197, 0, 258, 166, 57501
1627, 6765, 50318, 0, 250, 168, 57501
1633, 6797, 50318, 0, 248, 138, 57501
1639, 6787, 50392, 0, 245, 77, 57501
1645, 6830, 50357, 0, 234, 80, 57501
1651, 6943, 50248, 0, 232, 78, 57501
1657, 6965, 50227, 0, 229, 80, 57501
1663, 6991, 50228, 0, 232, 50, 57501
1669, 7033, 50183, 0, 233, 52, 57501
1675, 7020, 50125, 0, 242, 114, 57501
1681, 7046, 49973, 0, 242, 240, 57501
1687, 6950, 49896, 0, 278, 377, 57501
1693, 6836, 44424, 0, 536, 5705, 57501
1699, 6833, 37976, 0, 1160, 11532, 57501
1705, 6898, 37509, 0, 1677, 11417, 57501
1711, 6895, 35682, 0, 1784, 13140, 57501
1717, 6946, 32457, 0, 1706, 16392, 57501
1723, 6936, 30927, 0, 1637, 18001, 57501
1729, 6981, 26893, 0, 1281, 22346, 57501
1735, 6880, 25711, 0, 1735, 23175, 57501
1741, 6841, 24701, 0, 1843, 24116, 57501
1747, 6797, 27705, 0, 6559, 16440, 57501
1753, 6870, 27515, 0, 4838, 18278, 57501
1759, 6893, 27996, 0, 3949, 18663, 57501
1765, 6789, 28274, 0, 2866, 19572, 57501
1771, 6803, 28572, 0, 2434, 19692, 57501
1777, 6805, 29240, 0, 1990, 19466, 57501
1783, 6632, 30271, 0, 1564, 19034, 57501
1789, 6708, 49507, 0, 1238, 48, 57501
1795, 6751, 49671, 0, 1059, 20, 57501
1801, 6853, 49777, 0, 848, 23, 57501
1807, 6736, 50180, 0, 562, 23, 57501
1813, 6693, 50343, 0, 432, 33, 57501
1819, 6755, 50347, 0, 376, 23, 57501
1825, 6841, 50267, 0, 369, 24, 57501
1831, 6906, 50225, 0, 356, 14, 57501
1837, 6962, 50173, 0, 352, 14, 57501
1843, 6942, 50238, 0, 304, 17, 57501
1849, 6933, 50057, 0, 402, 109, 57501
1855, 6814, 49979, 0, 412, 296, 57501
