ts, default broker, SPOT, COLDPower18, total
1063, 7087, 50425, 0, 57512
1069, 7071, 50441, 0, 57512
1075, 7060, 50452, 0, 57512
1081, 7056, 50456, 0, 57512
1087, 7059, 50453, 0, 57512
1093, 7058, 50454, 0, 57512
1105, 7057, 50455, 0, 57512
1111, 7059, 50453, 0, 57512
1117, 7057, 50455, 0, 57512
1123, 7057, 50455, 0, 57512
1129, 7056, 50456, 0, 57512
1135, 7056, 50456, 0, 57512
1141, 7058, 50454, 0, 57512
1147, 7060, 50452, 0, 57512
1153, 7060, 50452, 0, 57512
1159, 7062, 50450, 0, 57512
1165, 7062, 50450, 0, 57512
1171, 7060, 50452, 0, 57512
1177, 7061, 50451, 0, 57512
1183, 7061, 50451, 0, 57512
1189, 7061, 50451, 0, 57512
1195, 7061, 50451, 0, 57512
1201, 7061, 50451, 0, 57512
1207, 7061, 50451, 0, 57512
1213, 7062, 50450, 0, 57512
1219, 7061, 50451, 0, 57512
1225, 7061, 50451, 0, 57512
1231, 7060, 50452, 0, 57512
1237, 7062, 50450, 0, 57512
1243, 7060, 50452, 0, 57512
1249, 7059, 50453, 0, 57512
1255, 7058, 50454, 0, 57512
1261, 7058, 50454, 0, 57512
1267, 7058, 50454, 0, 57512
1273, 7057, 50455, 0, 57512
1279, 7059, 50453, 0, 57512
1285, 7059, 50453, 0, 57512
1291, 7060, 50452, 0, 57512
1297, 7061, 50451, 0, 57512
1303, 7061, 50451, 0, 57512
1309, 7061, 50451, 0, 57512
1315, 7060, 50452, 0, 57512
1321, 7061, 50451, 0, 57512
1327, 7059, 50453, 0, 57512
1333, 7060, 50452, 0, 57512
1339, 7061, 50451, 0, 57512
1345, 7060, 50452, 0, 57512
1351, 7062, 50450, 0, 57512
1357, 7061, 50451, 0, 57512
1363, 7060, 50452, 0, 57512
1375, 7060, 50452, 0, 57512
1387, 7060, 50452, 0, 57512
1393, 7061, 50451, 0, 57512
1399, 7060, 50452, 0, 57512
1405, 7059, 50453, 0, 57512
1411, 7060, 50452, 0, 57512
1417, 7058, 50454, 0, 57512
1423, 7059, 50453, 0, 57512
1429, 7060, 50452, 0, 57512
1435, 7058, 50454, 0, 57512
1441, 7059, 50453, 0, 57512
1447, 7060, 50452, 0, 57512
1453, 7060, 50452, 0, 57512
1459, 7060, 50452, 0, 57512
1465, 7059, 50453, 0, 57512
1471, 7061, 50451, 0, 57512
1477, 7060, 50452, 0, 57512
1483, 7060, 50452, 0, 57512
1489, 7060, 50452, 0, 57512
1495, 7059, 50453, 0, 57512
1501, 7059, 50453, 0, 57512
1507, 7059, 50453, 0, 57512
1513, 7058, 50454, 0, 57512
1519, 7055, 50457, 0, 57512
1525, 7059, 50453, 0, 57512
1531, 7059, 50453, 0, 57512
1537, 7061, 50451, 0, 57512
1543, 7062, 50450, 0, 57512
1549, 7062, 50450, 0, 57512
1555, 7062, 50450, 0, 57512
1561, 7062, 50450, 0, 57512
1567, 7060, 50452, 0, 57512
1573, 7061, 50451, 0, 57512
1579, 7060, 50452, 0, 57512
1585, 7061, 50451, 0, 57512
1591, 7060, 50452, 0, 57512
1597, 7058, 50454, 0, 57512
1603, 7058, 50454, 0, 57512
1609, 7057, 50455, 0, 57512
1615, 7057, 50455, 0, 57512
1621, 7058, 50454, 0, 57512
1627, 7058, 50454, 0, 57512
1633, 7059, 50453, 0, 57512
1639, 7080, 50432, 0, 57512
1645, 7085, 50427, 0, 57512
1651, 7090, 50422, 0, 57512
1657, 7089, 50423, 0, 57512
1663, 7088, 50424, 0, 57512
1669, 7099, 50413, 0, 57512
1675, 7102, 50410, 0, 57512
1681, 7090, 50422, 0, 57512
1687, 7074, 50438, 0, 57512
1693, 7063, 50449, 0, 57512
1699, 7059, 50453, 0, 57512
1705, 7058, 50454, 0, 57512
1711, 7058, 50454, 0, 57512
1717, 7059, 50453, 0, 57512
1723, 7060, 50452, 0, 57512
1729, 7060, 50452, 0, 57512
1735, 7060, 50452, 0, 57512
1741, 7060, 50452, 0, 57512
