ts, default broker, CrocodileAgent, Bunnie, total
679, 6672, 1999, 48847, 57518
685, 6742, 1453, 49323, 57518
691, 6835, 1197, 49486, 57518
697, 6822, 977, 49719, 57518
703, 6804, 884, 49830, 57518
709, 6709, 691, 50118, 57518
715, 6697, 483, 50338, 57518
721, 6646, 397, 50475, 57518
727, 6621, 522, 50375, 57518
733, 6657, 472, 50389, 57518
739, 6666, 1145, 49707, 57518
745, 6691, 3528, 47299, 57518
751, 6688, 4982, 45848, 57518
757, 6796, 6813, 43909, 57518
763, 6787, 8476, 42255, 57518
769, 6814, 8787, 41917, 57518
775, 6819, 8858, 41841, 57518
781, 6697, 8851, 41970, 57518
787, 6742, 8810, 41966, 57518
793, 6744, 8796, 41978, 57518
799, 6738, 8749, 42031, 57518
805, 6751, 8664, 42103, 57518
811, 6774, 8400, 42344, 57518
817, 6784, 6995, 43739, 57518
823, 6790, 5521, 45207, 57518
829, 6781, 4323, 46414, 57518
835, 6773, 3542, 47203, 57518
841, 6594, 3103, 47821, 57518
847, 6580, 2577, 48361, 57518
853, 6582, 1611, 49325, 57518
859, 6637, 1070, 49811, 57518
865, 6672, 835, 50011, 57518
871, 6665, 787, 50066, 57518
877, 6675, 710, 50133, 57518
883, 6549, 637, 50332, 57518
889, 6689, 440, 50389, 57518
895, 6770, 311, 50437, 57518
901, 6725, 633, 50160, 57518
907, 6565, 1872, 49081, 57518
913, 6539, 4018, 46961, 57518
919, 6530, 5687, 45301, 57518
925, 6241, 7974, 43303, 57518
931, 5821, 10482, 41215, 57518
937, 5889, 12001, 39628, 57518
943, 6070, 12142, 39306, 57518
949, 6519, 11865, 39134, 57518
955, 6622, 11846, 39050, 57518
961, 6643, 11868, 39007, 57518
967, 6614, 11683, 39221, 57518
973, 6607, 11502, 39409, 57518
979, 6555, 11083, 39880, 57518
985, 6572, 10015, 40931, 57518
991, 6527, 9497, 41494, 57518
997, 6478, 7175, 43865, 57518
1003, 6635, 5786, 45097, 57518
1009, 6696, 4549, 46273, 57518
1015, 6626, 3376, 47516, 57518
1021, 6647, 3052, 47819, 57518
1027, 6632, 2200, 48686, 57518
1033, 6561, 1624, 49333, 57518
1039, 6666, 1056, 49796, 57518
1045, 6669, 870, 49979, 57518
1051, 6714, 756, 50048, 57518
1057, 6853, 338, 50327, 57518
1063, 6729, 446, 50343, 57518
1069, 6667, 433, 50418, 57518
1075, 6692, 1245, 49581, 57518
1081, 6706, 2586, 48226, 57518
1087, 6686, 3388, 47444, 57518
1093, 6522, 6017, 44979, 57518
1099, 6528, 7211, 43779, 57518
1105, 6557, 8154, 42807, 57518
1111, 6596, 8305, 42617, 57518
1117, 6550, 8266, 42702, 57518
1123, 6537, 8138, 42843, 57518
1129, 6546, 8070, 42902, 57518
1135, 6661, 7884, 42973, 57518
1141, 6705, 7807, 43006, 57518
1147, 6712, 7445, 43361, 57518
1153, 6513, 6598, 44407, 57518
1159, 6622, 5889, 45007, 57518
1165, 6747, 4459, 46312, 57518
1171, 6708, 3565, 47245, 57518
1177, 6737, 2726, 48055, 57518
1183, 6753, 2162, 48603, 57518
1189, 6480, 1776, 49262, 57518
1195, 6462, 1402, 49654, 57518
1201, 6617, 891, 50010, 57518
1207, 6690, 738, 50090, 57518
1213, 6700, 777, 50041, 57518
1219, 6790, 583, 50145, 57518
1225, 6809, 676, 50033, 57518
1231, 6732, 693, 50093, 57518
1237, 6803, 663, 50052, 57518
1243, 6885, 1779, 48854, 57518
1249, 6812, 4184, 46522, 57518
1255, 6879, 5676, 44963, 57518
1261, 6675, 7109, 43734, 57518
1267, 6722, 8667, 42129, 57518
1273, 6757, 10049, 40712, 57518
1279, 6733, 10197, 40588, 57518
1285, 6691, 10221, 40606, 57518
1291, 6340, 10074, 41104, 57518
1297, 6576, 9927, 41015, 57518
1303, 6622, 9787, 41109, 57518
1309, 6730, 9500, 41288, 57518
1315, 6800, 8375, 42343, 57518
1321, 6754, 7427, 43337, 57518
1327, 6760, 6516, 44242, 57518
1333, 6836, 5586, 45096, 57518
1339, 6853, 5072, 45593, 57518
1345, 6832, 3700, 46986, 57518
1351, 6863, 3406, 47249, 57518
1357, 6840, 3200, 47478, 57518
1363, 6691, 2395, 48432, 57518
1369, 6668, 2123, 48727, 57518
1375, 6562, 1471, 49485, 57518
1381, 6595, 1218, 49705, 57518
1387, 6616, 991, 49911, 57518
1393, 6618, 766, 50134, 57518
1399, 6648, 752, 50118, 57518
1405, 6351, 1072, 50095, 57518
1411, 6063, 1560, 49895, 57518
1417, 6192, 3034, 48292, 57518
1423, 6385, 4874, 46259, 57518
1429, 6685, 6150, 44683, 57518
1435, 6829, 8395, 42294, 57518
1441, 6811, 8815, 41892, 57518
1447, 6715, 9057, 41746, 57518
1453, 6548, 9231, 41739, 57518
1459, 6478, 8969, 42071, 57518
1465, 6587, 8841, 42090, 57518
1471, 6737, 8650, 42131, 57518
1477, 6850, 8488, 42180, 57518
1483, 6835, 8215, 42468, 57518
1489, 6819, 7534, 43165, 57518
1495, 6617, 6655, 44246, 57518
1501, 6599, 5321, 45598, 57518
1507, 6668, 4259, 46591, 57518
1513, 6714, 3318, 47486, 57518
1519, 6696, 2078, 48744, 57518
1525, 6725, 1369, 49424, 57518
1531, 6586, 1096, 49836, 57518
1537, 6647, 786, 50085, 57518
1543, 6685, 591, 50242, 57518
1549, 6582, 525, 50411, 57518
1555, 6628, 420, 50470, 57518
1561, 6643, 422, 50453, 57518
1567, 6654, 375, 50489, 57518
1573, 6693, 324, 50501, 57518
1579, 6647, 681, 50190, 57518
1585, 6683, 1589, 49246, 57518
1591, 6726, 2998, 47794, 57518
1597, 6433, 4752, 46333, 57518
1603, 6403, 5429, 45686, 57518
1609, 6398, 6624, 44496, 57518
1615, 6362, 6982, 44174, 57518
1621, 6278, 7191, 44049, 57518
1627, 6388, 7108, 44022, 57518
1633, 6495, 7007, 44016, 57518
1639, 6515, 6945, 44058, 57518
1645, 6686, 6612, 44220, 57518
1651, 6649, 6212, 44657, 57518
1657, 6729, 5654, 45135, 57518
1663, 6743, 5051, 45724, 57518
1669, 6898, 3706, 46914, 57518
1675, 6760, 2881, 47877, 57518
1681, 6792, 2090, 48636, 57518
1687, 6803, 1523, 49192, 57518
1693, 6724, 1248, 49546, 57518
1699, 6747, 1103, 49668, 57518
1705, 6776, 910, 49832, 57518
1711, 6763, 639, 50116, 57518
1717, 6834, 564, 50120, 57518
1723, 6722, 437, 50359, 57518
1729, 6805, 333, 50380, 57518
1735, 6858, 294, 50366, 57518
1741, 6797, 330, 50391, 57518
1747, 6741, 692, 50085, 57518
1753, 6566, 926, 50026, 57518
1759, 6637, 2852, 48029, 57518
1765, 6620, 4951, 45947, 57518
1771, 6657, 7773, 43088, 57518
1777, 6730, 8622, 42166, 57518
1783, 6759, 8907, 41852, 57518
1789, 6700, 8928, 41890, 57518
1795, 6760, 8845, 41913, 57518
