ts, default broker, AgentUDE, Bunnie, total
997, 6878, 42100, 8534, 57512
1003, 6887, 45944, 4681, 57512
1009, 6818, 47061, 3633, 57512
1015, 6753, 45151, 5608, 57512
1021, 6859, 45071, 5582, 57512
1027, 6902, 46684, 3926, 57512
1033, 6776, 44724, 6012, 57512
1039, 6834, 46083, 4595, 57512
1045, 6786, 48725, 2001, 57512
1051, 6762, 49628, 1122, 57512
1057, 6880, 50011, 621, 57512
1063, 6934, 50164, 414, 57512
1069, 6861, 50257, 394, 57512
1075, 6830, 46704, 3978, 57512
1081, 6836, 46369, 4307, 57512
1087, 6856, 46625, 4031, 57512
1093, 6889, 47262, 3361, 57512
1099, 6923, 47292, 3297, 57512
1105, 6879, 47468, 3165, 57512
1111, 6895, 47814, 2803, 57512
1117, 6790, 44696, 6026, 57512
1123, 6824, 44123, 6565, 57512
1129, 6859, 43380, 7273, 57512
1135, 6812, 44399, 6301, 57512
1141, 6801, 45100, 5611, 57512
1147, 6798, 45389, 5325, 57512
1153, 6737, 45316, 5459, 57512
1159, 6771, 39955, 10786, 57512
1165, 6233, 39197, 12082, 57512
1171, 6444, 38892, 12176, 57512
1177, 6579, 38896, 12037, 57512
1183, 6714, 40210, 10588, 57512
1189, 6852, 41543, 9117, 57512
1195, 6840, 42024, 8648, 57512
1201, 6857, 31015, 19640, 57512
1207, 6924, 28867, 21721, 57512
1213, 6953, 29359, 21200, 57512
1219, 6985, 29585, 20942, 57512
1225, 6998, 29578, 20936, 57512
1231, 6980, 30494, 20038, 57512
1237, 6970, 32160, 18382, 57512
1243, 6944, 28591, 21977, 57512
1249, 6959, 30030, 20523, 57512
1255, 6925, 32575, 18012, 57512
1261, 6558, 37228, 13726, 57512
1267, 6627, 38623, 12262, 57512
1273, 6693, 39302, 11517, 57512
1279, 6818, 40421, 10273, 57512
1285, 6840, 35187, 15485, 57512
1291, 6802, 35341, 15369, 57512
1297, 6837, 35796, 14879, 57512
1303, 6724, 35392, 15396, 57512
1309, 6738, 35814, 14960, 57512
1315, 6811, 35752, 14949, 57512
1321, 6847, 34653, 16012, 57512
1327, 6944, 29949, 20619, 57512
1333, 6860, 30272, 20380, 57512
1339, 6769, 31563, 19180, 57512
1345, 6827, 33515, 17170, 57512
1351, 6848, 33960, 16704, 57512
1357, 6887, 35608, 15017, 57512
1363, 6934, 37065, 13513, 57512
1369, 6935, 34408, 16169, 57512
1375, 6926, 37729, 12857, 57512
1381, 6828, 42558, 8126, 57512
1387, 6936, 44088, 6488, 57512
1393, 6935, 46496, 4081, 57512
1399, 6953, 47494, 3065, 57512
1405, 6876, 47168, 3468, 57512
1411, 6847, 44038, 6627, 57512
1417, 6895, 43208, 7409, 57512
1423, 6916, 44020, 6576, 57512
1429, 6750, 44971, 5791, 57512
1435, 6680, 45980, 4852, 57512
1441, 6676, 46462, 4374, 57512
1447, 6809, 46817, 3886, 57512
1453, 6867, 35031, 15614, 57512
1459, 6895, 34891, 15726, 57512
1465, 6837, 36534, 14141, 57512
1471, 6865, 37836, 12811, 57512
1477, 6695, 38336, 12481, 57512
1483, 6779, 38727, 12006, 57512
1489, 6852, 40148, 10512, 57512
1495, 6912, 36971, 13629, 57512
1501, 6936, 39896, 10680, 57512
1507, 6937, 44786, 5789, 57512
1513, 6897, 47116, 3499, 57512
1519, 6857, 46220, 4435, 57512
1525, 6927, 46241, 4344, 57512
1531, 6869, 45655, 4988, 57512
1537, 6851, 38049, 12612, 57512
1543, 6867, 35660, 14985, 57512
1549, 6578, 36472, 14462, 57512
1555, 6623, 36569, 14320, 57512
1561, 6736, 35852, 14924, 57512
1567, 6699, 36042, 14771, 57512
1573, 6746, 36219, 14547, 57512
1579, 6887, 45599, 5026, 57512
1585, 6889, 48562, 2061, 57512
1591, 6861, 49161, 1490, 57512
1597, 6919, 49728, 865, 57512
1603, 6919, 50181, 412, 57512
1609, 6917, 50151, 444, 57512
1615, 6891, 49880, 741, 57512
1621, 6870, 35106, 15536, 57512
1627, 6758, 34767, 15987, 57512
1633, 6774, 34947, 15791, 57512
1639, 6744, 34938, 15830, 57512
1645, 6852, 35406, 15254, 57512
1651, 6870, 36231, 14411, 57512
1657, 6935, 37061, 13516, 57512
1663, 6963, 28609, 21940, 57512
1669, 6828, 28337, 22347, 57512
1675, 6834, 29516, 21162, 57512
1681, 6866, 28794, 21852, 57512
1687, 6921, 28224, 22367, 57512
1693, 6951, 30103, 20458, 57512
