ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, Bunnie, total
943, 3393, 3995, 0, 16477, 33651, 57516
949, 3519, 3663, 0, 19900, 30434, 57516
955, 3425, 3365, 0, 22550, 28176, 57516
961, 3374, 2856, 0, 25624, 25662, 57516
967, 3350, 2655, 0, 14763, 36748, 57516
973, 3434, 1973, 0, 18399, 33710, 57516
979, 3312, 1592, 0, 25027, 27585, 57516
985, 3259, 1456, 0, 26870, 25931, 57516
991, 3400, 856, 0, 30177, 23083, 57516
997, 3245, 799, 0, 31555, 21917, 57516
1003, 3162, 679, 0, 34172, 19503, 57516
1009, 3182, 547, 0, 35462, 18325, 57516
1015, 3270, 525, 0, 35712, 18009, 57516
1021, 3336, 485, 0, 36533, 17162, 57516
1027, 3251, 322, 0, 37147, 16796, 57516
1033, 3195, 360, 0, 35861, 18100, 57516
1039, 3282, 295, 0, 36356, 17583, 57516
1045, 3290, 574, 0, 18529, 35123, 57516
1051, 3083, 843, 0, 19859, 33731, 57516
1057, 3304, 1319, 0, 24413, 28480, 57516
1063, 3390, 1251, 0, 25948, 26927, 57516
1069, 3365, 1342, 0, 28334, 24475, 57516
1075, 3368, 1920, 0, 30175, 22053, 57516
1081, 3074, 2613, 0, 32044, 19785, 57516
1087, 3230, 2725, 0, 33114, 18447, 57516
1093, 3450, 2736, 0, 34755, 16575, 57516
1099, 3488, 2792, 0, 35672, 15564, 57516
1105, 3469, 2897, 0, 35888, 15262, 57516
1111, 3527, 2851, 0, 24222, 26916, 57516
1117, 3547, 2590, 0, 26466, 24913, 57516
1123, 3557, 2239, 0, 28588, 23132, 57516
1129, 3433, 2051, 0, 30309, 21723, 57516
1135, 3257, 1924, 0, 14884, 37451, 57516
1141, 3312, 1250, 0, 18544, 34410, 57516
1147, 3313, 1072, 0, 21316, 31815, 57516
1153, 3368, 869, 0, 22937, 30342, 57516
1159, 3457, 683, 0, 24589, 28787, 57516
1165, 3457, 559, 0, 27004, 26496, 57516
1171, 3552, 376, 0, 30536, 23052, 57516
1177, 3755, 337, 0, 28275, 25149, 57516
1183, 3553, 406, 0, 29394, 24163, 57516
1189, 3564, 374, 0, 31371, 22207, 57516
1195, 3429, 275, 0, 33805, 20007, 57516
1201, 3344, 327, 0, 33322, 20523, 57516
1207, 3358, 261, 0, 33404, 20493, 57516
1213, 3249, 330, 0, 34431, 19506, 57516
1219, 3277, 388, 0, 34792, 19059, 57516
1225, 3466, 2043, 0, 33367, 18640, 57516
1231, 3465, 4150, 0, 23517, 26384, 57516
1237, 3252, 4653, 0, 27708, 21903, 57516
1243, 3150, 4933, 0, 30573, 18860, 57516
1249, 3072, 5174, 0, 33726, 15544, 57516
1255, 3253, 5160, 0, 34530, 14573, 57516
1261, 2989, 5157, 0, 36110, 13260, 57516
1267, 3031, 5045, 0, 37755, 11685, 57516
1273, 3191, 4741, 0, 38028, 11556, 57516
1279, 3191, 4470, 0, 26195, 23660, 57516
1285, 3326, 4028, 0, 27700, 22462, 57516
1291, 3318, 3939, 0, 29243, 21016, 57516
1297, 3459, 2813, 0, 32804, 18440, 57516
1303, 3411, 1486, 0, 34009, 18610, 57516
1309, 3509, 1263, 0, 34621, 18123, 57516
1315, 3523, 890, 0, 37633, 15470, 57516
1321, 3490, 658, 0, 38948, 14420, 57516
1327, 3291, 538, 0, 9309, 44378, 57516
1333, 3167, 422, 0, 11079, 42848, 57516
1339, 3284, 377, 0, 14327, 39528, 57516
1345, 3221, 320, 0, 21240, 32735, 57516
1351, 3371, 273, 0, 22141, 31731, 57516
1357, 3266, 284, 0, 24927, 29039, 57516
1363, 3352, 299, 0, 27740, 26125, 57516
1369, 3220, 361, 0, 5257, 48678, 57516
1375, 3164, 318, 0, 5205, 48829, 57516
1381, 3079, 337, 0, 7091, 47009, 57516
1387, 3122, 986, 0, 9596, 43812, 57516
1393, 3353, 3154, 0, 12509, 38500, 57516
1399, 3175, 4186, 0, 14101, 36054, 57516
1405, 3152, 5011, 0, 16635, 32718, 57516
1411, 3194, 5617, 0, 18652, 30053, 57516
1417, 3420, 6273, 0, 19979, 27844, 57516
1423, 3513, 6423, 0, 19997, 27583, 57516
1429, 3470, 6431, 0, 19822, 27793, 57516
1435, 3463, 6422, 0, 19731, 27900, 57516
1441, 3417, 6367, 0, 19220, 28512, 57516
1447, 3700, 6284, 0, 18800, 28732, 57516
1453, 3725, 6253, 0, 18725, 28813, 57516
1459, 3620, 5723, 0, 17375, 30798, 57516
1465, 3526, 4582, 0, 14712, 34696, 57516
1471, 3732, 3875, 0, 13014, 36895, 57516
1477, 3798, 3066, 0, 11538, 39114, 57516
1483, 3631, 2528, 0, 10095, 41262, 57516
1489, 3694, 1799, 0, 8620, 43403, 57516
1495, 3674, 1488, 0, 7721, 44633, 57516
1501, 3693, 1153, 0, 6962, 45708, 57516
1507, 3701, 903, 0, 6159, 46753, 57516
1513, 3731, 756, 0, 5687, 47342, 57516
1519, 3761, 697, 0, 4750, 48308, 57516
1525, 3548, 799, 0, 4544, 48625, 57516
1531, 3475, 712, 0, 4695, 48634, 57516
1537, 3570, 508, 0, 4292, 49146, 57516
1543, 3571, 419, 0, 4605, 48921, 57516
1549, 3561, 398, 0, 7239, 46318, 57516
1555, 3662, 766, 0, 9085, 44003, 57516
1561, 3480, 2878, 0, 13040, 38118, 57516
1567, 3577, 3590, 0, 14652, 35697, 57516
1573, 3646, 3820, 0, 16863, 33187, 57516
1579, 3508, 4532, 0, 18631, 30845, 57516
1585, 3424, 5991, 0, 20547, 27554, 57516
1591, 3674, 6252, 0, 20984, 26606, 57516
1597, 3619, 6269, 0, 21011, 26617, 57516
1603, 3599, 6243, 0, 21015, 26659, 57516
1609, 3580, 6183, 0, 20848, 26905, 57516
1615, 3315, 6145, 0, 20915, 27141, 57516
1621, 3404, 6142, 0, 20354, 27616, 57516
1627, 3329, 6179, 0, 20008, 28000, 57516
1633, 3344, 5107, 0, 17086, 31979, 57516
1639, 3412, 4391, 0, 14799, 34914, 57516
1645, 3330, 3660, 0, 12537, 37989, 57516
1651, 3338, 3327, 0, 11362, 39489, 57516
1657, 3211, 2528, 0, 9636, 42141, 57516
1663, 3397, 1491, 0, 7641, 44987, 57516
1669, 3477, 1345, 0, 7077, 45617, 57516
1675, 3417, 1100, 0, 6192, 46807, 57516
1681, 3456, 851, 0, 5577, 47632, 57516
1687, 3258, 705, 0, 5243, 48310, 57516
1693, 3055, 753, 0, 5355, 48353, 57516
1699, 2960, 576, 0, 5437, 48543, 57516
1705, 2985, 549, 0, 5508, 48474, 57516
1711, 3183, 455, 0, 5213, 48665, 57516
1717, 3300, 365, 0, 6451, 47400, 57516
1723, 3408, 682, 0, 9047, 44379, 57516
1729, 3608, 2028, 0, 11760, 40120, 57516
1735, 3450, 2693, 0, 14368, 37005, 57516
1741, 3714, 4403, 0, 18280, 31119, 57516
1747, 3424, 4883, 0, 20072, 29137, 57516
1753, 3468, 5896, 0, 21310, 26842, 57516
1759, 3520, 5917, 0, 21091, 26988, 57516
