ts, default broker, SPOT, AgentUDE, total
1375, 7011, 6422, 44067, 57500
1381, 7009, 6549, 43942, 57500
1387, 7008, 6551, 43941, 57500
1393, 7009, 6549, 43942, 57500
1399, 7008, 6686, 43806, 57500
1405, 7007, 6817, 43676, 57500
1411, 7009, 10156, 40335, 57500
1417, 7004, 8944, 41552, 57500
1423, 7004, 8056, 42440, 57500
1429, 7004, 7300, 43196, 57500
1435, 7004, 6471, 44025, 57500
1441, 7004, 6346, 44150, 57500
1447, 7004, 6018, 44478, 57500
1453, 7008, 12928, 37564, 57500
1459, 7006, 12832, 37662, 57500
1465, 7007, 12071, 38422, 57500
1471, 7006, 11385, 39109, 57500
1477, 7007, 11006, 39487, 57500
1483, 7008, 10297, 40195, 57500
1489, 7006, 9592, 40902, 57500
1495, 7004, 11716, 38780, 57500
1501, 7006, 13398, 37096, 57500
1507, 7004, 13437, 37059, 57500
1513, 7008, 13552, 36940, 57500
1519, 7030, 16119, 34351, 57500
1525, 7031, 18792, 31677, 57500
1531, 7027, 21004, 29469, 57500
1537, 7029, 34531, 15940, 57500
1543, 7027, 35376, 15097, 57500
1549, 7023, 34918, 15559, 57500
1555, 7017, 34672, 15811, 57500
1561, 7011, 34089, 16400, 57500
1567, 7007, 33574, 16919, 57500
1573, 7008, 33092, 17400, 57500
1579, 7004, 28863, 21633, 57500
1585, 7004, 27361, 23135, 57500
1591, 7006, 26231, 24263, 57500
1597, 7004, 24294, 26202, 57500
1603, 7003, 23067, 27430, 57500
1609, 7001, 22086, 28413, 57500
1615, 7002, 20222, 30276, 57500
1621, 7005, 21855, 28640, 57500
1627, 7004, 16777, 33719, 57500
1633, 7006, 14935, 35559, 57500
1639, 7002, 14304, 36194, 57500
1645, 7002, 13734, 36764, 57500
1651, 7002, 12168, 38330, 57500
1657, 7002, 11823, 38675, 57500
1663, 7004, 10747, 39749, 57500
1669, 7004, 9787, 40709, 57500
1675, 7005, 8947, 41548, 57500
1681, 7004, 7466, 43030, 57500
1687, 7003, 6440, 44057, 57500
1693, 7002, 6488, 44010, 57500
1699, 7004, 5765, 44731, 57500
1705, 7006, 9496, 40998, 57500
1711, 7005, 9169, 41326, 57500
