ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, total
757, 9, 300, 37, 0, 57161, 57507
763, 15, 36, 35, 0, 57421, 57507
769, 9, 39, 37, 0, 57422, 57507
775, 10, 111, 6, 0, 57380, 57507
781, 11, 184, 8, 0, 57304, 57507
787, 12, 424, 3, 0, 57068, 57507
793, 25, 1891, 4, 0, 55587, 57507
799, 32, 2082, 21, 0, 55372, 57507
805, 17, 2389, 22, 0, 55079, 57507
811, 9, 4628, 23, 0, 52847, 57507
817, 13, 7798, 24, 0, 49672, 57507
823, 10, 11482, 23, 0, 45992, 57507
829, 12, 15430, 24, 0, 42041, 57507
835, 13, 18620, 21, 0, 38853, 57507
841, 10, 21120, 17, 0, 36360, 57507
847, 11, 22934, 14, 0, 34548, 57507
853, 12, 23762, 12, 0, 33721, 57507
859, 8, 24048, 149, 0, 33302, 57507
865, 7, 23785, 44, 0, 33671, 57507
871, 8, 23427, 11, 0, 34061, 57507
877, 10, 23419, 12, 0, 34066, 57507
883, 2014, 22578, 55, 0, 32860, 57507
889, 2413, 21416, 85, 0, 33593, 57507
895, 2831, 18803, 91, 0, 35782, 57507
901, 3048, 16802, 93, 0, 37564, 57507
907, 3164, 12188, 96, 0, 42059, 57507
913, 3062, 10084, 96, 0, 44265, 57507
919, 2931, 7500, 97, 0, 46979, 57507
925, 3018, 5536, 96, 0, 48857, 57507
931, 3096, 4682, 95, 0, 49634, 57507
937, 3171, 3072, 94, 0, 51170, 57507
943, 3158, 2096, 115, 0, 52138, 57507
949, 3311, 1754, 114, 0, 52328, 57507
955, 3392, 1585, 114, 0, 52416, 57507
961, 3472, 2195, 68, 0, 51772, 57507
967, 3304, 2116, 39, 0, 52048, 57507
973, 3377, 2804, 45, 0, 51281, 57507
979, 3530, 4235, 43, 0, 49699, 57507
985, 3583, 6536, 50, 0, 47338, 57507
991, 3563, 9111, 67, 0, 44766, 57507
997, 3337, 10736, 67, 0, 43367, 57507
1003, 3272, 13150, 67, 0, 41018, 57507
1009, 3198, 15824, 54, 0, 38431, 57507
1015, 3078, 18017, 52, 0, 36360, 57507
1021, 3111, 18279, 43, 0, 36074, 57507
1027, 3057, 18682, 41, 0, 35727, 57507
1033, 3204, 18376, 31, 0, 35896, 57507
1039, 3078, 17840, 30, 0, 36559, 57507
1045, 3029, 17280, 39, 0, 37159, 57507
1051, 3311, 16914, 28, 0, 37254, 57507
1057, 3366, 15356, 72, 0, 38713, 57507
1063, 3491, 13801, 75, 0, 40140, 57507
1069, 3659, 12457, 75, 0, 41316, 57507
1075, 3612, 10552, 75, 0, 43268, 57507
1081, 3599, 8551, 70, 0, 45287, 57507
1087, 3670, 5345, 67, 0, 48425, 57507
1093, 3637, 4169, 61, 0, 49640, 57507
1099, 3650, 2991, 68, 0, 50798, 57507
1105, 3542, 1999, 91, 0, 51875, 57507
1111, 3400, 1338, 116, 0, 52653, 57507
1117, 3379, 1187, 121, 0, 52820, 57507
1123, 3362, 1112, 123, 0, 52910, 57507
1129, 3403, 1738, 125, 0, 52241, 57507
1135, 3474, 1875, 124, 0, 52034, 57507
1141, 3407, 2144, 92, 0, 51864, 57507
1147, 3422, 3419, 92, 0, 50574, 57507
1153, 3453, 4193, 93, 0, 49768, 57507
1159, 3526, 5506, 93, 0, 48382, 57507
1165, 3583, 6388, 94, 0, 47442, 57507
1171, 3589, 7587, 95, 0, 46236, 57507
1177, 3542, 11317, 93, 0, 42555, 57507
1183, 3548, 13718, 95, 0, 40146, 57507
1189, 3593, 14545, 95, 0, 39274, 57507
1195, 3566, 14680, 93, 0, 39168, 57507
1201, 3779, 14737, 96, 0, 38895, 57507
1207, 3624, 14560, 94, 0, 39229, 57507
1213, 3516, 14437, 96, 0, 39458, 57507
1219, 3464, 13418, 96, 0, 40529, 57507
1225, 3374, 12414, 93, 0, 41626, 57507
1231, 3458, 11490, 96, 0, 42463, 57507
1237, 3306, 10780, 94, 0, 43327, 57507
1243, 3466, 10138, 96, 0, 43807, 57507
1249, 3468, 8177, 96, 0, 45766, 57507
1255, 3508, 6283, 94, 0, 47622, 57507
1261, 3543, 4690, 93, 0, 49181, 57507
1267, 3598, 2920, 93, 0, 50896, 57507
1273, 3495, 1879, 94, 0, 52039, 57507
1279, 3490, 1596, 93, 0, 52328, 57507
1285, 3617, 1135, 94, 0, 52661, 57507
1291, 3626, 1126, 93, 0, 52662, 57507
1297, 3655, 1280, 93, 0, 52479, 57507
1303, 3797, 1210, 58, 0, 52442, 57507
1309, 3612, 1087, 45, 0, 52763, 57507
1315, 3719, 1448, 63, 0, 52277, 57507
1321, 3731, 4822, 68, 0, 48886, 57507
1327, 3823, 8005, 91, 0, 45588, 57507
1333, 3533, 10834, 93, 0, 43047, 57507
1339, 3442, 13174, 90, 0, 40801, 57507
1345, 3434, 16880, 93, 0, 37100, 57507
1351, 3360, 18520, 93, 0, 35534, 57507
1357, 3075, 19285, 94, 0, 35053, 57507
1363, 3313, 19417, 94, 0, 34683, 57507
1369, 3320, 19567, 95, 0, 34525, 57507
1375, 3290, 19411, 97, 0, 34709, 57507
1381, 3208, 19386, 97, 0, 34816, 57507
1387, 3228, 19092, 94, 0, 35093, 57507
1393, 3438, 18075, 93, 0, 35901, 57507
1399, 3309, 16430, 96, 0, 37672, 57507
1405, 3494, 13562, 94, 0, 40357, 57507
1411, 3627, 11267, 55, 0, 42558, 57507
1417, 3597, 9511, 39, 0, 44360, 57507
1423, 3613, 8416, 48, 0, 45430, 57507
1429, 3606, 6743, 45, 0, 47113, 57507
1435, 3665, 5481, 68, 0, 48293, 57507
1441, 3418, 3240, 87, 0, 50762, 57507
1447, 3500, 2409, 91, 0, 51507, 57507
1453, 3528, 1949, 91, 0, 51939, 57507
1459, 3335, 1494, 93, 0, 52585, 57507
1465, 3351, 1880, 96, 0, 52180, 57507
1471, 3427, 2116, 96, 0, 51868, 57507
1477, 3255, 1883, 96, 0, 52273, 57507
1483, 3247, 4192, 95, 0, 49973, 57507
1489, 3217, 6770, 98, 0, 47422, 57507
1495, 3249, 9180, 96, 0, 44982, 57507
1501, 3260, 11476, 95, 0, 42676, 57507
1507, 3371, 13865, 93, 0, 40178, 57507
1513, 3356, 14287, 94, 0, 39770, 57507
1519, 3252, 14581, 93, 0, 39581, 57507
1525, 3190, 14716, 93, 0, 39508, 57507
1531, 3160, 14900, 94, 0, 39353, 57507
1537, 3305, 14964, 96, 0, 39142, 57507
1543, 3353, 14659, 96, 0, 39399, 57507
1549, 3378, 14662, 94, 0, 39373, 57507
1555, 3230, 11570, 125, 0, 42582, 57507
1561, 3243, 8649, 123, 0, 45492, 57507
1567, 3284, 6263, 125, 0, 47835, 57507
1573, 3278, 3763, 129, 0, 50337, 57507
1579, 3387, 1548, 182, 0, 52390, 57507
1585, 3533, 1303, 155, 0, 52516, 57507
1591, 3543, 1141, 157, 0, 52666, 57507
1597, 3609, 1004, 153, 0, 52741, 57507
1603, 3554, 1002, 148, 0, 52803, 57507
1609, 3543, 327, 195, 0, 53442, 57507
1615, 3379, 277, 169, 0, 53682, 57507
1621, 3297, 454, 120, 0, 53636, 57507
1627, 3413, 844, 114, 0, 53136, 57507
1633, 3326, 1063, 93, 0, 53025, 57507
1639, 3333, 1186, 94, 0, 52894, 57507
1645, 3353, 1223, 96, 0, 52835, 57507
1651, 3388, 2199, 94, 0, 51826, 57507
1657, 3428, 3382, 93, 0, 50604, 57507
1663, 3344, 5743, 95, 0, 48325, 57507
1669, 3207, 6903, 95, 0, 47302, 57507
1675, 3385, 9182, 94, 0, 44846, 57507
1681, 3385, 10302, 95, 0, 43725, 57507
1687, 3200, 10844, 94, 0, 43369, 57507
1693, 3175, 11254, 95, 0, 42983, 57507
1699, 2906, 11146, 94, 0, 43361, 57507
1705, 2969, 11121, 96, 0, 43321, 57507
1711, 2937, 11153, 94, 0, 43323, 57507
1717, 3252, 11211, 95, 0, 42949, 57507
1723, 3172, 10541, 94, 0, 43700, 57507
1729, 3189, 9942, 182, 0, 44194, 57507
1735, 2932, 8843, 182, 0, 45550, 57507
1741, 3101, 6936, 182, 0, 47288, 57507
1747, 3066, 5950, 151, 0, 48340, 57507
1753, 3280, 4903, 153, 0, 49171, 57507
1759, 3371, 3045, 126, 0, 50965, 57507
1765, 3582, 2236, 85, 0, 51604, 57507
1771, 3637, 1783, 47, 0, 52040, 57507
1777, 3606, 1475, 38, 0, 52388, 57507
1783, 3591, 1048, 61, 0, 52807, 57507
1789, 3666, 904, 63, 0, 52874, 57507
1795, 3507, 826, 62, 0, 53112, 57507
