ts, default broker, COLDPower18, VidyutVanika, total
1045, 3702, 0, 53810, 57512
1051, 3759, 0, 53753, 57512
1057, 3762, 0, 53750, 57512
1063, 3742, 0, 53770, 57512
1069, 3673, 0, 53839, 57512
1075, 3759, 0, 53753, 57512
1081, 3698, 0, 53814, 57512
1087, 3745, 0, 53767, 57512
1093, 3646, 0, 53866, 57512
1099, 3715, 0, 53797, 57512
1105, 3666, 0, 53846, 57512
1111, 3429, 0, 54083, 57512
1117, 3342, 0, 54170, 57512
1123, 3246, 0, 54266, 57512
1129, 3439, 0, 54073, 57512
1135, 3630, 0, 53882, 57512
1141, 3642, 0, 53870, 57512
1147, 3708, 0, 53804, 57512
1153, 3836, 0, 53676, 57512
1159, 3751, 0, 53761, 57512
1165, 3764, 0, 53748, 57512
1171, 3682, 0, 53830, 57512
1177, 3704, 0, 53808, 57512
1183, 3607, 0, 53905, 57512
1189, 3376, 0, 54136, 57512
1195, 3329, 0, 54183, 57512
1201, 3342, 0, 54170, 57512
1207, 3372, 0, 54140, 57512
1213, 3236, 0, 54276, 57512
1219, 3342, 0, 54170, 57512
1225, 3484, 0, 54028, 57512
1231, 3599, 0, 53913, 57512
1237, 3487, 0, 54025, 57512
1243, 3595, 0, 53917, 57512
1249, 3558, 0, 53954, 57512
1255, 3558, 0, 53954, 57512
1261, 3726, 0, 53786, 57512
1267, 3571, 0, 53941, 57512
1273, 3781, 0, 53731, 57512
1279, 3718, 0, 53794, 57512
1285, 3672, 0, 53840, 57512
1291, 3482, 0, 54030, 57512
1297, 3557, 0, 53955, 57512
1303, 3553, 0, 53959, 57512
1309, 3689, 0, 53823, 57512
1315, 3809, 0, 53703, 57512
1321, 3720, 0, 53792, 57512
1327, 3546, 0, 53966, 57512
1333, 3733, 0, 53779, 57512
1339, 3736, 0, 53776, 57512
1345, 3686, 0, 53826, 57512
1351, 3465, 0, 54047, 57512
1357, 3520, 0, 53992, 57512
1363, 3465, 0, 54047, 57512
1369, 3388, 0, 54124, 57512
1375, 3481, 0, 54031, 57512
1381, 3600, 0, 53912, 57512
1387, 3454, 0, 54058, 57512
1393, 3444, 0, 54068, 57512
1399, 3458, 0, 54054, 57512
1405, 3567, 0, 53945, 57512
1411, 3428, 0, 54084, 57512
1417, 3517, 0, 53995, 57512
1423, 3522, 0, 53990, 57512
1429, 3475, 0, 54037, 57512
1435, 3638, 0, 53874, 57512
1441, 3477, 0, 54035, 57512
1447, 3484, 0, 54028, 57512
1453, 3389, 0, 54123, 57512
1459, 3535, 0, 53977, 57512
1465, 3588, 0, 53924, 57512
1471, 3723, 0, 53789, 57512
1477, 3663, 0, 53849, 57512
1483, 3751, 0, 53761, 57512
1489, 3634, 0, 53878, 57512
1495, 3546, 0, 53966, 57512
1501, 3613, 0, 53899, 57512
1507, 3580, 0, 53932, 57512
1513, 3584, 0, 53928, 57512
1519, 3729, 0, 53783, 57512
1525, 3751, 0, 53761, 57512
1531, 3528, 0, 53984, 57512
1537, 3631, 0, 53881, 57512
1543, 3619, 0, 53893, 57512
1549, 3473, 0, 54039, 57512
1555, 3517, 0, 53995, 57512
1561, 3542, 0, 53970, 57512
1567, 3581, 0, 53931, 57512
1573, 3723, 0, 53789, 57512
1579, 3602, 0, 53910, 57512
1585, 3552, 0, 53960, 57512
1591, 3534, 0, 53978, 57512
1597, 3307, 0, 54205, 57512
1603, 3278, 0, 54234, 57512
1609, 3281, 0, 54231, 57512
1615, 3202, 0, 54310, 57512
1621, 3216, 0, 54296, 57512
1627, 3056, 0, 54456, 57512
1633, 3195, 0, 54317, 57512
1639, 3239, 0, 54273, 57512
1645, 3169, 0, 54343, 57512
1651, 3258, 0, 54254, 57512
1657, 3179, 0, 54333, 57512
1663, 3292, 0, 54220, 57512
1669, 3523, 0, 53989, 57512
1675, 3607, 0, 53905, 57512
1681, 3541, 0, 53971, 57512
1687, 3676, 0, 53836, 57512
1693, 3835, 0, 53677, 57512
1699, 3841, 0, 53671, 57512
1705, 3761, 0, 53751, 57512
