ts, default broker, CrocodileAgent, VidyutVanika, AgentUDE, Bunnie, total
1639, 1, 6470, 33065, 2291, 15672, 57499
1645, 5, 6379, 32374, 2609, 16132, 57499
1651, 1, 4642, 27883, 3104, 21869, 57499
1657, 3, 3850, 25623, 3795, 24228, 57499
1663, 2, 2736, 22961, 1161, 30639, 57499
1669, 3, 1398, 20089, 1272, 34737, 57499
1675, 4, 730, 15795, 1709, 39261, 57499
1681, 2, 329, 14122, 2193, 40853, 57499
1687, 7, 108, 13534, 2544, 41306, 57499
1693, 3, 14, 10861, 3613, 43008, 57499
1699, 3, 14, 10880, 3736, 42866, 57499
1705, 3, 12, 8476, 6600, 42408, 57499
1711, 2, 10, 7533, 6661, 43293, 57499
1717, 6, 9, 7680, 8328, 41476, 57499
1723, 2, 11, 7861, 6718, 42907, 57499
1729, 0, 16, 8121, 6684, 42678, 57499
1735, 4, 13, 9047, 7109, 41326, 57499
1741, 1, 1182, 15009, 7125, 34182, 57499
1747, 1, 1713, 17183, 735, 37867, 57499
1753, 1, 2181, 20211, 997, 34109, 57499
1759, 1, 2790, 21190, 691, 32827, 57499
1765, 1, 3691, 24003, 571, 29233, 57499
1771, 0, 3943, 25218, 203, 28135, 57499
1777, 1, 4526, 26213, 516, 26243, 57499
1783, 1, 4644, 26884, 722, 25248, 57499
