ts, default broker, SPOT, EWIIS3, AgentUDE, Bunnie, total
967, 6843, 93, 11, 5, 50563, 57515
973, 6837, 93, 11, 5, 50569, 57515
979, 6869, 93, 10, 5, 50538, 57515
985, 6836, 91, 11, 7, 50570, 57515
991, 6780, 101, 11, 4, 50619, 57515
997, 6875, 250, 11, 166, 50213, 57515
1003, 6828, 250, 13, 155, 50269, 57515
1009, 6854, 252, 13, 155, 50241, 57515
1015, 6897, 253, 11, 166, 50188, 57515
1021, 6947, 252, 10, 318, 49988, 57515
1027, 6955, 251, 9, 321, 49979, 57515
1033, 6968, 241, 13, 3, 50290, 57515
1039, 6940, 181, 11, 4, 50379, 57515
1045, 6859, 151, 11, 35, 50459, 57515
1051, 6898, 299, 12, 34, 50272, 57515
1057, 6920, 242, 9, 34, 50310, 57515
1063, 6838, 243, 8, 33, 50393, 57515
1069, 6824, 541, 7, 333, 49810, 57515
1075, 6846, 542, 7, 59, 50061, 57515
1081, 6881, 541, 8, 65, 50020, 57515
1087, 6951, 539, 7, 206, 49812, 57515
1093, 6967, 479, 7, 440, 49622, 57515
1099, 6966, 479, 8, 466, 49596, 57515
1105, 6845, 420, 8, 707, 49535, 57515
1111, 6872, 418, 8, 734, 49483, 57515
1117, 6886, 328, 7, 4, 50290, 57515
1123, 6879, 327, 9, 15, 50285, 57515
1129, 6923, 385, 9, 15, 50183, 57515
1135, 6912, 354, 9, 17, 50223, 57515
1141, 6903, 328, 11, 165, 50108, 57515
1147, 6896, 446, 10, 165, 49998, 57515
1153, 6883, 419, 10, 312, 49891, 57515
1159, 6930, 326, 10, 104, 50145, 57515
1165, 6714, 327, 11, 105, 50358, 57515
1171, 6725, 328, 10, 84, 50368, 57515
1177, 6780, 475, 9, 87, 50164, 57515
1183, 6795, 385, 8, 67, 50260, 57515
1189, 6858, 394, 8, 197, 50058, 57515
1195, 6715, 368, 9, 170, 50253, 57515
1201, 6799, 455, 9, 8, 50244, 57515
1207, 6762, 415, 10, 7, 50321, 57515
1213, 6719, 325, 9, 454, 50008, 57515
1219, 6705, 268, 6, 368, 50168, 57515
1225, 6730, 239, 7, 516, 50023, 57515
1231, 6727, 209, 7, 456, 50116, 57515
1237, 6764, 354, 9, 433, 49955, 57515
1243, 6740, 324, 10, 4, 50437, 57515
1249, 6741, 268, 10, 8, 50488, 57515
1255, 6802, 268, 10, 7, 50428, 57515
1261, 6708, 417, 10, 9, 50371, 57515
1267, 6720, 427, 10, 9, 50349, 57515
1273, 6799, 396, 9, 11, 50300, 57515
1279, 6850, 356, 9, 10, 50290, 57515
1285, 6810, 355, 11, 4, 50335, 57515
1291, 6818, 271, 11, 5, 50410, 57515
1297, 6745, 269, 9, 6, 50486, 57515
1303, 6697, 220, 8, 5, 50585, 57515
1309, 6747, 310, 11, 152, 50295, 57515
1315, 6799, 311, 11, 92, 50302, 57515
1321, 6757, 311, 9, 94, 50344, 57515
1327, 6752, 369, 8, 322, 50064, 57515
1333, 6546, 397, 8, 1159, 49405, 57515
1339, 6686, 278, 10, 1303, 49238, 57515
1345, 6730, 279, 10, 1733, 48763, 57515
1351, 6786, 199, 10, 2013, 48507, 57515
1357, 6760, 179, 12, 2387, 48177, 57515
1363, 6752, 180, 12, 2493, 48078, 57515
1369, 6829, 149, 10, 7, 50520, 57515
1375, 6843, 148, 9, 7, 50508, 57515
1381, 6872, 148, 9, 6, 50480, 57515
1387, 6887, 148, 9, 5, 50466, 57515
1393, 6847, 147, 10, 5, 50506, 57515
1399, 6882, 117, 12, 4, 50500, 57515
1405, 6924, 415, 12, 4, 50160, 57515
1411, 6911, 425, 12, 7, 50160, 57515
1417, 6924, 563, 13, 12, 50003, 57515
1423, 6897, 564, 13, 15, 50026, 57515
1429, 6891, 564, 13, 16, 50031, 57515
1435, 6830, 712, 12, 312, 49649, 57515
1441, 6723, 685, 12, 339, 49756, 57515
1447, 6681, 635, 10, 341, 49848, 57515
1453, 6562, 566, 10, 6, 50371, 57515
1459, 6626, 711, 9, 8, 50161, 57515
1465, 6639, 683, 10, 7, 50176, 57515
1471, 6769, 603, 10, 6, 50127, 57515
1477, 6804, 443, 11, 5, 50252, 57515
1483, 6806, 352, 10, 5, 50342, 57515
1489, 6778, 267, 12, 4, 50454, 57515
1495, 6806, 247, 10, 7, 50445, 57515
1501, 6765, 103, 9, 559, 50079, 57515
1507, 6717, 93, 8, 1297, 49400, 57515
1513, 6763, 239, 7, 1588, 48918, 57515
1519, 6812, 236, 11, 1733, 48723, 57515
1525, 6820, 378, 10, 2161, 48146, 57515
1531, 6797, 381, 9, 2303, 48025, 57515
1537, 6785, 381, 14, 34, 50301, 57515
1543, 6798, 381, 14, 33, 50289, 57515
1549, 6779, 382, 13, 182, 50159, 57515
1555, 6829, 357, 10, 183, 50136, 57515
1561, 6878, 298, 9, 183, 50147, 57515
1567, 6885, 277, 8, 184, 50161, 57515
1573, 6887, 166, 8, 184, 50270, 57515
1579, 6908, 166, 9, 4, 50428, 57515
1585, 6935, 268, 9, 164, 50139, 57515
1591, 6909, 268, 9, 164, 50165, 57515
1597, 6849, 240, 9, 164, 50253, 57515
1603, 6878, 389, 9, 164, 50075, 57515
1609, 6919, 362, 8, 153, 50073, 57515
1615, 6830, 369, 9, 153, 50154, 57515
1621, 6804, 369, 9, 301, 50032, 57515
1627, 6771, 281, 10, 594, 49859, 57515
1633, 6800, 270, 10, 696, 49739, 57515
1639, 6782, 239, 10, 992, 49492, 57515
1645, 6824, 149, 11, 1139, 49392, 57515
1651, 6845, 121, 10, 1283, 49256, 57515
1657, 6801, 221, 9, 1285, 49199, 57515
1663, 6762, 220, 10, 354, 50169, 57515
1669, 6779, 191, 7, 1010, 49528, 57515
1675, 6787, 193, 10, 1654, 48871, 57515
1681, 6792, 192, 10, 2331, 48190, 57515
1687, 6788, 201, 9, 2571, 47946, 57515
1693, 6810, 191, 9, 3223, 47282, 57515
1699, 6831, 91, 10, 4053, 46530, 57515
1705, 6858, 122, 12, 603, 49920, 57515
1711, 6867, 120, 11, 793, 49724, 57515
1717, 6820, 122, 10, 1319, 49244, 57515
1723, 6891, 121, 9, 1303, 49191, 57515
1729, 6898, 120, 9, 1490, 48998, 57515
1735, 6839, 130, 10, 1338, 49198, 57515
1741, 6934, 130, 9, 1342, 49100, 57515
1747, 6920, 264, 10, 114, 50207, 57515
1753, 6940, 264, 10, 403, 49898, 57515
1759, 6899, 234, 9, 421, 49952, 57515
1765, 6921, 235, 7, 792, 49560, 57515
1771, 6906, 234, 9, 894, 49472, 57515
1777, 6967, 234, 10, 1309, 48995, 57515
1783, 6933, 235, 9, 1287, 49051, 57515
1789, 6966, 236, 10, 449, 49854, 57515
1795, 6939, 181, 10, 734, 49651, 57515
1801, 6919, 151, 10, 2003, 48432, 57515
1807, 6940, 152, 10, 1944, 48469, 57515
1813, 6975, 122, 10, 1995, 48413, 57515
1819, 6975, 122, 10, 1908, 48500, 57515
1825, 6888, 121, 9, 2211, 48286, 57515
1831, 6877, 120, 10, 1392, 49116, 57515
1837, 6844, 122, 9, 2229, 48311, 57515
1843, 6881, 123, 8, 3842, 46661, 57515
1849, 6848, 93, 7, 4525, 46042, 57515
1855, 6862, 222, 8, 7176, 43247, 57515
1861, 6898, 340, 7, 8536, 41734, 57515
1867, 6892, 338, 6, 11706, 38573, 57515
1873, 6907, 339, 5, 1566, 48698, 57515
1879, 6812, 339, 3, 1475, 48886, 57515
1885, 6824, 339, 5, 2285, 48062, 57515
1891, 6879, 339, 5, 2663, 47629, 57515
1897, 6824, 307, 7, 2646, 47731, 57515
1903, 6860, 277, 6, 2492, 47880, 57515
1909, 6886, 249, 6, 2666, 47708, 57515
1915, 6917, 122, 9, 1426, 49041, 57515
1921, 6918, 92, 10, 1754, 48741, 57515
1927, 6817, 92, 9, 2047, 48550, 57515
1933, 6777, 92, 10, 2636, 48000, 57515
1939, 6802, 240, 8, 3014, 47451, 57515
1945, 6795, 238, 9, 3701, 46772, 57515
1951, 6816, 239, 6, 4602, 45852, 57515
1957, 6833, 238, 6, 66, 50372, 57515
1963, 6800, 239, 6, 326, 50144, 57515
1969, 6877, 229, 8, 326, 50075, 57515
1975, 6934, 228, 8, 328, 50017, 57515
1981, 6777, 229, 10, 475, 50024, 57515
1987, 6713, 170, 9, 473, 50150, 57515
1993, 6762, 92, 11, 474, 50176, 57515
1999, 6826, 93, 12, 268, 50316, 57515
2005, 6827, 90, 12, 236, 50350, 57515
2011, 6898, 100, 11, 800, 49706, 57515
2017, 6899, 91, 12, 1118, 49395, 57515
2023, 6914, 91, 12, 1112, 49386, 57515
2029, 6935, 91, 13, 1888, 48588, 57515
2035, 6894, 91, 15, 1604, 48911, 57515
2041, 6888, 90, 16, 406, 50115, 57515
2047, 6848, 92, 15, 412, 50148, 57515
2053, 6870, 93, 13, 863, 49676, 57515
2059, 6756, 92, 13, 866, 49788, 57515
