ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, EWIIS3, total
757, 10, 4389, 0, 52918, 186, 57503
763, 10, 2717, 0, 54588, 188, 57503
769, 10, 1595, 0, 55707, 191, 57503
775, 10, 618, 0, 56685, 190, 57503
781, 10, 183, 0, 57116, 194, 57503
787, 10, 180, 0, 57122, 191, 57503
793, 10, 185, 0, 57120, 188, 57503
799, 10, 225, 0, 57078, 190, 57503
805, 10, 249, 0, 57052, 192, 57503
811, 10, 252, 0, 57050, 191, 57503
817, 10, 160, 0, 57152, 181, 57503
823, 11, 480, 0, 56834, 178, 57503
829, 9, 549, 0, 56768, 177, 57503
835, 9, 660, 0, 56656, 178, 57503
841, 9, 2762, 0, 54550, 182, 57503
847, 9, 4077, 0, 53237, 180, 57503
853, 9, 4274, 0, 53040, 180, 57503
859, 9, 5129, 0, 52174, 191, 57503
865, 7, 6595, 0, 50774, 127, 57503
871, 6, 6788, 0, 50602, 107, 57503
877, 4, 6986, 0, 50421, 92, 57503
883, 2, 6902, 0, 50520, 79, 57503
889, 2, 6865, 0, 50564, 72, 57503
895, 11, 7162, 0, 50165, 165, 57503
901, 11, 7153, 0, 50257, 82, 57503
907, 1709, 6620, 0, 49101, 73, 57503
913, 2957, 6053, 0, 48432, 61, 57503
919, 3318, 5640, 0, 48485, 60, 57503
925, 3319, 5213, 0, 48872, 99, 57503
931, 3131, 4655, 0, 49645, 72, 57503
937, 3123, 3595, 0, 50716, 69, 57503
943, 3349, 2865, 0, 51230, 59, 57503
949, 3374, 2000, 0, 52069, 60, 57503
955, 3394, 1848, 0, 52204, 57, 57503
961, 3480, 1503, 0, 52462, 58, 57503
967, 3470, 1330, 0, 52641, 62, 57503
973, 3312, 1156, 0, 52970, 65, 57503
979, 3338, 1095, 0, 53011, 59, 57503
985, 3254, 1073, 0, 53119, 57, 57503
991, 3200, 1156, 0, 53089, 58, 57503
997, 3230, 977, 0, 53239, 57, 57503
1003, 3335, 858, 0, 53255, 55, 57503
1009, 3253, 1770, 0, 52421, 59, 57503
1015, 3325, 2424, 0, 51697, 57, 57503
1021, 2942, 3774, 0, 50729, 58, 57503
1027, 3059, 5261, 0, 49126, 57, 57503
1033, 3119, 5723, 0, 48601, 60, 57503
1039, 3278, 6504, 0, 47658, 63, 57503
1045, 3255, 6164, 0, 48023, 61, 57503
1051, 3309, 6033, 0, 48102, 59, 57503
1057, 3368, 5799, 0, 48275, 61, 57503
1063, 3321, 5756, 0, 48318, 108, 57503
1069, 3254, 6033, 0, 48129, 87, 57503
1075, 3320, 6038, 0, 47963, 182, 57503
1081, 3448, 5130, 0, 48859, 66, 57503
1087, 3506, 4524, 0, 49410, 63, 57503
1093, 3454, 3431, 0, 50557, 61, 57503
1099, 3333, 2803, 0, 51303, 64, 57503
1105, 3333, 1331, 0, 52770, 69, 57503
1111, 3471, 1125, 0, 52842, 65, 57503
1117, 3526, 1020, 0, 52893, 64, 57503
1123, 3610, 761, 0, 53070, 62, 57503
1129, 3670, 688, 0, 53082, 63, 57503
1135, 3688, 670, 0, 53074, 71, 57503
1141, 3728, 533, 0, 53182, 60, 57503
1147, 3520, 583, 0, 53339, 61, 57503
1153, 3525, 908, 0, 52995, 75, 57503
1159, 3638, 954, 0, 52844, 67, 57503
1165, 3465, 854, 0, 53118, 66, 57503
1171, 3363, 833, 0, 53246, 61, 57503
1177, 3394, 3039, 0, 51011, 59, 57503
1183, 3352, 5545, 0, 48540, 66, 57503
1189, 3576, 6570, 0, 47301, 56, 57503
1195, 3572, 7979, 0, 45896, 56, 57503
1201, 3621, 8819, 0, 45006, 57, 57503
1207, 3600, 9163, 0, 44686, 54, 57503
1213, 3470, 9334, 0, 44646, 53, 57503
1219, 3491, 9431, 0, 44516, 65, 57503
1225, 3546, 9324, 0, 44565, 68, 57503
1231, 3351, 9471, 0, 44610, 71, 57503
1237, 3470, 9330, 0, 44626, 77, 57503
1243, 3488, 9206, 0, 44733, 76, 57503
1249, 3357, 7575, 0, 46513, 58, 57503
1255, 3345, 6664, 0, 47434, 60, 57503
1261, 3321, 5683, 0, 48436, 63, 57503
1267, 3410, 4423, 0, 49601, 69, 57503
1273, 3435, 4138, 0, 49868, 62, 57503
1279, 3586, 3123, 0, 50735, 59, 57503
1285, 3612, 2565, 0, 51263, 63, 57503
1291, 3406, 2095, 0, 51940, 62, 57503
1297, 3320, 1621, 0, 52501, 61, 57503
1303, 3478, 1357, 0, 52608, 60, 57503
1309, 3439, 1171, 0, 52834, 59, 57503
1315, 3469, 1050, 0, 52927, 57, 57503
1321, 3417, 1115, 0, 52909, 62, 57503
1327, 3546, 860, 0, 53035, 62, 57503
1333, 3638, 1146, 0, 52655, 64, 57503
1339, 3632, 1890, 0, 51920, 61, 57503
1345, 3723, 2976, 0, 50746, 58, 57503
1351, 3712, 3485, 0, 50249, 57, 57503
1357, 3695, 4668, 0, 49084, 56, 57503
1363, 3671, 5781, 0, 47998, 53, 57503
1369, 3615, 6485, 0, 47339, 64, 57503
1375, 3580, 7573, 0, 46285, 65, 57503
1381, 3406, 7716, 0, 46315, 66, 57503
1387, 3439, 7846, 0, 46163, 55, 57503
1393, 3258, 7677, 0, 46512, 56, 57503
1399, 3113, 7741, 0, 46570, 79, 57503
1405, 3090, 7546, 0, 46800, 67, 57503
1411, 3140, 7144, 0, 47151, 68, 57503
1417, 3301, 6344, 0, 47791, 67, 57503
1423, 3237, 5690, 0, 48510, 66, 57503
1429, 3144, 4817, 0, 49483, 59, 57503
1435, 3216, 4138, 0, 50085, 64, 57503
1441, 2326, 3558, 0, 51555, 64, 57503
1447, 1519, 2625, 0, 53264, 95, 57503
1453, 1099, 2326, 0, 53983, 95, 57503
1459, 748, 2091, 0, 54567, 97, 57503
1465, 2490, 403, 0, 54544, 66, 57503
1471, 2846, 464, 0, 54128, 65, 57503
1477, 3117, 448, 0, 53854, 84, 57503
1483, 3166, 503, 0, 53672, 162, 57503
1489, 3242, 1140, 0, 52948, 173, 57503
1495, 3519, 1310, 0, 52520, 154, 57503
1501, 3410, 1334, 0, 52637, 122, 57503
1507, 3298, 1748, 0, 52335, 122, 57503
1513, 3309, 2971, 0, 51162, 61, 57503
1519, 3141, 4490, 0, 49812, 60, 57503
1525, 3377, 5347, 0, 48719, 60, 57503
1531, 3420, 5818, 0, 48204, 61, 57503
1537, 3524, 6163, 0, 47736, 80, 57503
1543, 3626, 7044, 0, 46764, 69, 57503
1549, 3627, 7387, 0, 46430, 59, 57503
1555, 3735, 7220, 0, 46477, 71, 57503
1561, 3669, 7162, 0, 46599, 73, 57503
1567, 3866, 6873, 0, 46691, 73, 57503
1573, 3875, 6963, 0, 46593, 72, 57503
1579, 3731, 6733, 0, 46974, 65, 57503
1585, 3731, 5869, 0, 47837, 66, 57503
1591, 3574, 3515, 0, 50355, 59, 57503
1597, 3567, 2693, 0, 51184, 59, 57503
1603, 3634, 1997, 0, 51792, 80, 57503
1609, 3717, 1541, 0, 52178, 67, 57503
1615, 3549, 664, 0, 53233, 57, 57503
1621, 3428, 303, 0, 53713, 59, 57503
1627, 3425, 227, 0, 53779, 72, 57503
1633, 3324, 206, 0, 53899, 74, 57503
1639, 3338, 205, 0, 53902, 58, 57503
1645, 3368, 247, 0, 53819, 69, 57503
1651, 3469, 180, 0, 53794, 60, 57503
1657, 3585, 321, 0, 53527, 70, 57503
1663, 3563, 263, 0, 53607, 70, 57503
1669, 3460, 985, 0, 53000, 58, 57503
1675, 3317, 1434, 0, 52695, 57, 57503
1681, 3414, 2803, 0, 51228, 58, 57503
1687, 3497, 3660, 0, 50279, 67, 57503
1693, 3427, 5685, 0, 48313, 78, 57503
1699, 3486, 6553, 0, 47397, 67, 57503
1705, 3596, 7448, 0, 46388, 71, 57503
1711, 3524, 8018, 0, 45899, 62, 57503
1717, 3556, 8500, 0, 45388, 59, 57503
1723, 3482, 8555, 0, 45408, 58, 57503
1729, 3491, 8425, 0, 45530, 57, 57503
1735, 3436, 8750, 0, 45255, 62, 57503
1741, 3369, 8221, 0, 45849, 64, 57503
1747, 3476, 7701, 0, 46261, 65, 57503
1753, 3412, 6409, 0, 47620, 62, 57503
1759, 3400, 5410, 0, 48621, 72, 57503
1765, 3346, 3505, 0, 50591, 61, 57503
1771, 3228, 2482, 0, 51726, 67, 57503
1777, 3351, 1425, 0, 52661, 66, 57503
1783, 3302, 900, 0, 53225, 76, 57503
1789, 3570, 609, 0, 53247, 77, 57503
1795, 3417, 471, 0, 53549, 66, 57503
1801, 3477, 514, 0, 53438, 74, 57503
1807, 3584, 225, 0, 53605, 89, 57503
1813, 3673, 210, 0, 53554, 66, 57503
1819, 3619, 503, 0, 53315, 66, 57503
1825, 3550, 946, 0, 52951, 56, 57503
1831, 3551, 1128, 0, 52766, 58, 57503
1837, 3698, 1401, 0, 52340, 64, 57503
1843, 3651, 1771, 0, 52005, 76, 57503
1849, 3611, 3840, 0, 49976, 76, 57503
1855, 3371, 5099, 0, 48948, 85, 57503
1861, 3589, 7782, 0, 46059, 73, 57503
1867, 3562, 8148, 0, 45718, 75, 57503
1873, 3491, 9151, 0, 44796, 65, 57503
1879, 3560, 9937, 0, 43942, 64, 57503
1885, 3624, 10635, 0, 43178, 66, 57503
1891, 3635, 11024, 0, 42789, 55, 57503
1897, 3472, 10424, 0, 43540, 67, 57503
1903, 3580, 10134, 0, 43732, 57, 57503
1909, 3638, 9989, 0, 43804, 72, 57503
1915, 3567, 9562, 0, 44311, 63, 57503
1921, 3477, 7628, 0, 46343, 55, 57503
1927, 3446, 6230, 0, 47760, 67, 57503
1933, 3477, 3732, 0, 50227, 67, 57503
1939, 3316, 3234, 0, 50895, 58, 57503
1945, 3265, 2344, 0, 51837, 57, 57503
1951, 3378, 2153, 0, 51898, 74, 57503
1957, 3478, 1709, 0, 52233, 83, 57503
