ts, default broker, VidyutVanika, Bunnie, total
1261, 16, 8715, 48778, 57509
1267, 16, 8234, 49259, 57509
1273, 15, 7986, 49508, 57509
1279, 13, 7859, 49637, 57509
1285, 13, 7768, 49728, 57509
1291, 14, 7895, 49600, 57509
1297, 15, 7716, 49778, 57509
1303, 14, 8029, 49466, 57509
1309, 14, 10705, 46790, 57509
1315, 13, 14231, 43265, 57509
1321, 14, 17801, 39694, 57509
1327, 14, 19758, 37737, 57509
1333, 14, 23199, 34296, 57509
1339, 11, 25063, 32435, 57509
1345, 9, 26811, 30689, 57509
1351, 9, 27098, 30402, 57509
1357, 8, 27030, 30471, 57509
1363, 8, 26957, 30544, 57509
1369, 9, 26905, 30595, 57509
1375, 5, 26769, 30735, 57509
1381, 5, 25725, 31779, 57509
1387, 8, 24791, 32710, 57509
1393, 10, 23158, 34341, 57509
1399, 10, 21447, 36052, 57509
1405, 10, 19929, 37570, 57509
1411, 10, 16996, 40503, 57509
1417, 12, 14316, 43181, 57509
1423, 11, 12216, 45282, 57509
1429, 12, 10676, 46821, 57509
1435, 13, 10610, 46886, 57509
1441, 14, 10366, 47129, 57509
1447, 14, 9765, 47730, 57509
1453, 15, 9425, 48069, 57509
1459, 12, 9216, 48281, 57509
1465, 13, 8488, 49008, 57509
1471, 13, 8290, 49206, 57509
1477, 12, 10525, 46972, 57509
1483, 12, 13348, 44149, 57509
1489, 15, 15171, 42323, 57509
1495, 12, 16814, 40683, 57509
1501, 14, 23110, 34385, 57509
1507, 13, 24371, 33125, 57509
1513, 11, 25310, 32188, 57509
1519, 12, 25495, 32002, 57509
1525, 12, 25460, 32037, 57509
1531, 15, 25066, 32428, 57509
1537, 14, 25045, 32450, 57509
1543, 13, 24930, 32566, 57509
1549, 12, 24128, 33369, 57509
1555, 13, 22718, 34778, 57509
1561, 15, 21007, 36487, 57509
1567, 13, 20112, 37384, 57509
1573, 15, 16631, 40863, 57509
1579, 13, 15361, 42135, 57509
1585, 13, 13092, 44404, 57509
1591, 14, 11381, 46114, 57509
1597, 19, 10900, 46590, 57509
1603, 21, 9619, 47869, 57509
1609, 19, 8738, 48752, 57509
1615, 20, 8411, 49078, 57509
1621, 17, 8037, 49455, 57509
1627, 18, 7665, 49826, 57509
1633, 15, 7706, 49788, 57509
1639, 14, 7573, 49922, 57509
1645, 14, 10202, 47293, 57509
1651, 14, 11362, 46133, 57509
1657, 13, 13936, 43560, 57509
1663, 12, 15465, 42032, 57509
1669, 12, 16867, 40630, 57509
1675, 15, 19461, 38033, 57509
1681, 15, 22815, 34679, 57509
1687, 14, 22922, 34573, 57509
1693, 16, 23068, 34425, 57509
1699, 17, 22993, 34499, 57509
1705, 18, 22909, 34582, 57509
1711, 18, 22738, 34753, 57509
1717, 16, 21656, 35837, 57509
1723, 18, 20684, 36807, 57509
1729, 18, 19975, 37516, 57509
1735, 18, 18794, 38697, 57509
1741, 17, 17205, 40287, 57509
1747, 16, 15707, 41786, 57509
1753, 15, 14455, 43039, 57509
1759, 15, 12111, 45383, 57509
1765, 13, 11146, 46350, 57509
1771, 11, 9901, 47597, 57509
1777, 12, 9321, 48176, 57509
1783, 11, 8742, 48756, 57509
1789, 11, 8110, 49388, 57509
1795, 13, 7860, 49636, 57509
1801, 13, 7993, 49503, 57509
1807, 15, 8327, 49167, 57509
1813, 14, 10892, 46603, 57509
1819, 14, 14038, 43457, 57509
1825, 13, 18261, 39235, 57509
1831, 13, 19301, 38195, 57509
1837, 12, 24131, 33366, 57509
1843, 15, 25870, 31624, 57509
