ts, default broker, CrocodileAgent, AgentUDE, total
715, 6698, 50755, 57, 57510
721, 6709, 50744, 57, 57510
727, 6748, 50683, 79, 57510
733, 6891, 50533, 86, 57510
739, 6902, 50215, 393, 57510
745, 6892, 49603, 1015, 57510
751, 6928, 49180, 1402, 57510
757, 6727, 48518, 2265, 57510
763, 6662, 45366, 5482, 57510
769, 6704, 36100, 14706, 57510
775, 6691, 28698, 22121, 57510
781, 6806, 25145, 25559, 57510
787, 6890, 17179, 33441, 57510
793, 6910, 12244, 38356, 57510
799, 6726, 9438, 41346, 57510
805, 6758, 7110, 43642, 57510
811, 6812, 5345, 45353, 57510
817, 6865, 4134, 46511, 57510
823, 6959, 6481, 44070, 57510
829, 6963, 6292, 44255, 57510
835, 6910, 6632, 43968, 57510
841, 6822, 6685, 44003, 57510
847, 6813, 6733, 43964, 57510
853, 6850, 9488, 41172, 57510
859, 6876, 14966, 35668, 57510
865, 6782, 48155, 2573, 57510
871, 6763, 50561, 186, 57510
877, 6748, 50747, 15, 57510
883, 6892, 50605, 13, 57510
889, 6853, 50643, 14, 57510
895, 6843, 50623, 44, 57510
901, 6786, 50679, 45, 57510
907, 6795, 50076, 639, 57510
913, 6718, 49398, 1394, 57510
919, 6747, 47987, 2776, 57510
925, 6543, 46510, 4457, 57510
931, 6637, 44594, 6279, 57510
937, 6760, 35958, 14792, 57510
943, 6798, 26828, 23884, 57510
949, 6862, 22229, 28419, 57510
955, 6790, 16918, 33802, 57510
961, 6741, 14608, 36161, 57510
967, 6808, 10167, 40535, 57510
973, 6887, 7681, 42942, 57510
979, 6898, 7071, 43541, 57510
985, 6871, 6327, 44312, 57510
991, 6936, 19316, 31258, 57510
997, 6954, 19714, 30842, 57510
1003, 6916, 19750, 30844, 57510
1009, 6930, 19801, 30779, 57510
1015, 6891, 20128, 30491, 57510
1021, 6720, 21843, 28947, 57510
1027, 6682, 29419, 21409, 57510
1033, 6802, 50697, 11, 57510
1039, 6850, 50650, 10, 57510
1045, 6871, 50629, 10, 57510
1051, 6899, 50602, 9, 57510
1057, 6853, 50649, 8, 57510
1063, 6882, 50620, 8, 57510
1069, 6918, 50584, 8, 57510
1075, 6895, 49533, 1082, 57510
1081, 6807, 49155, 1548, 57510
1087, 6860, 47418, 3232, 57510
1093, 6894, 41118, 9498, 57510
1099, 6827, 37120, 13563, 57510
1105, 6900, 25937, 24673, 57510
1111, 6826, 20269, 30415, 57510
1117, 6950, 13444, 37116, 57510
1123, 6769, 9864, 40877, 57510
1129, 6752, 7435, 43323, 57510
1135, 6804, 5534, 45172, 57510
1141, 6894, 4464, 46152, 57510
1147, 6879, 3849, 46782, 57510
1153, 6897, 2818, 47795, 57510
1159, 6873, 4457, 46180, 57510
1165, 6828, 4385, 46297, 57510
1171, 6759, 4425, 46326, 57510
1177, 6755, 4514, 46241, 57510
1183, 6740, 4486, 46284, 57510
1189, 6811, 5293, 45406, 57510
1195, 6810, 8140, 42560, 57510
1201, 6816, 47183, 3511, 57510
1207, 6706, 50416, 388, 57510
1213, 6607, 50811, 92, 57510
1219, 6664, 50783, 63, 57510
1225, 6733, 50712, 65, 57510
1231, 6747, 50682, 81, 57510
1237, 6793, 50577, 140, 57510
1243, 6818, 50423, 269, 57510
1249, 6874, 49901, 735, 57510
1255, 6821, 49600, 1089, 57510
1261, 6764, 49218, 1528, 57510
1267, 6719, 47414, 3377, 57510
1273, 6753, 35277, 15480, 57510
1279, 6812, 26048, 24650, 57510
1285, 6852, 18244, 32414, 57510
1291, 6880, 12338, 38292, 57510
1297, 6834, 10851, 39825, 57510
1303, 6809, 9069, 41632, 57510
1309, 6772, 7412, 43326, 57510
1315, 6827, 5165, 45518, 57510
1321, 6905, 4473, 46132, 57510
1327, 6867, 10574, 40069, 57510
1333, 6743, 10686, 40081, 57510
1339, 6750, 10764, 39996, 57510
1345, 6802, 10656, 40052, 57510
1351, 6841, 11145, 39524, 57510
1357, 6829, 14837, 35844, 57510
1363, 6857, 21983, 28670, 57510
1369, 6865, 48407, 2238, 57510
1375, 6862, 50147, 501, 57510
1381, 6848, 50294, 368, 57510
1387, 6822, 50459, 229, 57510
1393, 6881, 50399, 230, 57510
1399, 6823, 50519, 168, 57510
1405, 6876, 50407, 227, 57510
1411, 6816, 49833, 861, 57510
1417, 6812, 48530, 2168, 57510
1423, 6775, 47182, 3553, 57510
1429, 6784, 44922, 5804, 57510
1435, 6815, 42705, 7990, 57510
1441, 6907, 37943, 12660, 57510
1447, 6890, 30392, 20228, 57510
1453, 6685, 23574, 27251, 57510
1459, 6750, 15816, 34944, 57510
1465, 6754, 12601, 38155, 57510
1471, 6815, 10218, 40477, 57510
1477, 6935, 7565, 43010, 57510
1483, 6959, 5766, 44785, 57510
1489, 6982, 4671, 45857, 57510
1495, 6921, 4084, 46505, 57510
1501, 6894, 3872, 46744, 57510
1507, 6849, 3664, 46997, 57510
1513, 6870, 3420, 47220, 57510
1519, 6886, 3651, 46973, 57510
1525, 6782, 4791, 45937, 57510
1531, 6808, 12143, 38559, 57510
1537, 6824, 48552, 2134, 57510
1543, 6888, 50259, 363, 57510
1549, 6903, 50426, 181, 57510
1555, 6855, 50473, 182, 57510
1561, 6893, 50465, 152, 57510
1567, 6914, 50472, 124, 57510
1573, 6764, 50618, 128, 57510
1579, 6736, 50541, 233, 57510
1585, 6784, 49873, 853, 57510
1591, 6838, 49489, 1183, 57510
1597, 6929, 48301, 2280, 57510
1603, 6909, 47275, 3326, 57510
1609, 6841, 35485, 15184, 57510
1615, 6731, 27622, 23157, 57510
1621, 6605, 19981, 30924, 57510
1627, 6671, 17143, 33696, 57510
1633, 6697, 14198, 36615, 57510
1639, 6719, 11704, 39087, 57510
1645, 6693, 8751, 42066, 57510
1651, 6636, 6740, 44134, 57510
1657, 6676, 6100, 44734, 57510
1663, 6773, 16154, 34583, 57510
1669, 6841, 16747, 33922, 57510
1675, 6887, 16835, 33788, 57510
1681, 6806, 16880, 33824, 57510
