gameId;gameName;status;gameSize;gameLength;lastTick;weatherLocation;weatherDate;logUrl;AgentUDE;Bunnie;COLDPower18;CrocodileAgent;EWIIS3;SPOT;VidyutVanika
1263;PowerTAC_2018_Finals_91;game_complete;7;1354;1352;cheyenne;04.03.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_91.tar.gz;7459.980815;-1553190.758;-2047.253023;94840.7753;-1086641.48;-207944.792;797084.3593
1264;PowerTAC_2018_Finals_92;game_complete;7;1366;1365;cheyenne;05.04.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_92.tar.gz;249679.843;-360953.0755;54438.69858;337825.6861;-336853.1836;-71995.39751;645540.9485
1265;PowerTAC_2018_Finals_93;game_complete;7;1469;1467;cheyenne;18.08.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_93.tar.gz;-133037.6196;-568712.2978;44601.79505;340931.4819;-572144.2384;26936.4299;434298.2379
1266;PowerTAC_2018_Finals_94;game_complete;7;1378;1377;cheyenne;03.06.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_94.tar.gz;290122.8376;723784.2955;106924.3625;199595.4215;-739321.5863;-33075.04936;4690.085934
1267;PowerTAC_2018_Finals_95;game_complete;7;1527;1526;cheyenne;15.12.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_95.tar.gz;1417412.895;-1338911.96;-33163.20731;63033.68271;-803150.8138;-33815.50077;217413.282
1268;PowerTAC_2018_Finals_96;game_complete;7;1488;1486;cheyenne;13.04.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_96.tar.gz;269608.0178;329599.5386;62439.78934;388996.2331;-1112746.724;-149276.9126;1555105.948
1269;PowerTAC_2018_Finals_97;game_complete;7;1681;1680;cheyenne;12.10.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_97.tar.gz;-55744.01862;-5349393.442;39458.10415;43663.87614;-483611.454;1178.802169;-1052299.051
1270;PowerTAC_2018_Finals_98;game_complete;7;1406;1405;cheyenne;31.10.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_98.tar.gz;257024.3805;-1728939.952;-51028.01656;281450.7947;-1705244.111;22866.61074;811084.6511
1271;PowerTAC_2018_Finals_99;game_complete;7;1519;1517;cheyenne;28.12.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_99.tar.gz;167849.0839;-1937849.375;7774.8412;492964.1869;-966995.6311;-82505.08234;650065.5032
1272;PowerTAC_2018_Finals_100;game_complete;7;1421;1420;cheyenne;04.10.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_100.tar.gz;410239.7814;-2937647.06;40147.95511;185092.0774;-958991.2839;-17050.8864;-193939.4812
